profile,variant,change,ecosystem,package,version
dev,utilities-all,added,wolfi,json-c,0.19-r1
dev,utilities-all,added,wolfi,libbpf,1.7.0-r4
dev,utilities-all,added,wolfi,libcap,2.78-r3
dev,utilities-all,added,wolfi,libelf,0.195-r3
dev,utilities-all,added,wolfi,libev,4.33-r13
dev,utilities-all,added,wolfi,libmnl,1.0.5-r8
dev,utilities-all,added,wolfi,libnftnl,1.3.2-r0
dev,utilities-all,added,wolfi,libtirpc,1.3.7-r6
dev,utilities-all,added,wolfi,liburcu,0.15.6-r3
dev,utilities-all,added,wolfi,nano,9.2-r1
dev,utilities-all,added,wolfi,netcat-openbsd,1.238-r1
dev,utilities-all,added,wolfi,nghttp2,1.70.0-r3
dev,utilities-all,added,wolfi,nghttp2-dev,1.70.0-r3
dev,utilities-all,added,wolfi,popt,1.19-r11
dev,utilities-all,added,wolfi,protobuf-c,1.5.2-r9
dev,utilities-all,added,wolfi,rsync,3.5.0-r1
dev,utilities-all,added,wolfi,wget,1.25.0-r16
dev,utilities-all,added,wolfi,xxhash-libs,0.8.3-r6
